task_id,cmd_vx,top_gait,second_gait,metric,direction,top_value,second_value,raw_top_minus_second,favorable_gap_for_top
rough_slope_trot_robustness,1.00,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
rough_slope_trot_robustness,1.50,pronking,trotting,neutral_score,higher_better,0.669597,0.660943,0.008654,0.008654
rough_slope_trot_robustness,1.50,pronking,trotting,weighted_metric_reward_mean,higher_better,0.674544,0.676756,-0.002212,-0.002212
rough_slope_trot_robustness,1.50,pronking,trotting,vx_abs_error_mean,lower_better,0.312988,0.322896,-0.009908,0.009908
rough_slope_trot_robustness,1.50,pronking,trotting,fall_rate,lower_better,0.020000,0.023000,-0.003000,0.003000
rough_slope_trot_robustness,1.50,pronking,trotting,lateral_offset_abs_mean,lower_better,1.539078,1.034042,0.505037,-0.505037
rough_slope_trot_robustness,1.50,pronking,trotting,scuffing_ratio_mean,lower_better,0.073083,0.067917,0.005167,-0.005167
rough_slope_trot_robustness,1.50,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.722221,0.718945,0.003276,-0.003276
rough_slope_trot_robustness,1.50,pronking,trotting,transport_cost_proxy,lower_better,173.789468,173.284674,0.504794,-0.504794
rough_slope_trot_robustness,1.50,pronking,trotting,score_progress,higher_better,0.735131,0.723584,0.011546,0.011546
rough_slope_trot_robustness,1.50,pronking,trotting,score_lateral_drift,higher_better,0.355143,0.426867,-0.071725,-0.071725
rough_slope_trot_robustness,1.50,pronking,trotting,score_energy,higher_better,0.546954,0.458239,0.088715,0.088715
rough_slope_trot_robustness,1.50,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
rough_slope_trot_robustness,2.00,trotting,pacing,neutral_score,higher_better,0.542754,0.510900,0.031854,0.031854
rough_slope_trot_robustness,2.00,trotting,pacing,weighted_metric_reward_mean,higher_better,0.647185,0.619046,0.028139,0.028139
rough_slope_trot_robustness,2.00,trotting,pacing,vx_abs_error_mean,lower_better,0.492715,0.540759,-0.048043,0.048043
rough_slope_trot_robustness,2.00,trotting,pacing,fall_rate,lower_better,0.024000,0.023000,0.001000,-0.001000
rough_slope_trot_robustness,2.00,trotting,pacing,lateral_offset_abs_mean,lower_better,1.352321,1.365992,-0.013671,0.013671
rough_slope_trot_robustness,2.00,trotting,pacing,scuffing_ratio_mean,lower_better,0.072250,0.070083,0.002167,-0.002167
rough_slope_trot_robustness,2.00,trotting,pacing,foot_impact_vel_sum_mean,lower_better,0.708083,0.739114,-0.031031,0.031031
rough_slope_trot_robustness,2.00,trotting,pacing,transport_cost_proxy,lower_better,189.163520,211.751879,-22.588359,22.588359
rough_slope_trot_robustness,2.00,trotting,pacing,score_progress,higher_better,0.578395,0.550775,0.027620,0.027620
rough_slope_trot_robustness,2.00,trotting,pacing,score_lateral_drift,higher_better,0.356148,0.253464,0.102684,0.102684
rough_slope_trot_robustness,2.00,trotting,pacing,score_energy,higher_better,0.433707,0.424150,0.009557,0.009557
rough_slope_trot_robustness,2.00,trotting,pacing,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,neutral_score,higher_better,0.595277,0.592817,0.002460,0.002460
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,weighted_metric_reward_mean,higher_better,0.664387,0.684077,-0.019690,-0.019690
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,vx_abs_error_mean,lower_better,0.462065,0.470062,-0.007998,0.007998
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,fall_rate,lower_better,0.019000,0.019000,0.000000,-0.000000
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,lateral_offset_abs_mean,lower_better,1.388187,1.607630,-0.219443,0.219443
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,scuffing_ratio_mean,lower_better,0.113500,0.117417,-0.003917,0.003917
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,foot_impact_vel_sum_mean,lower_better,0.729700,0.948664,-0.218964,0.218964
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,transport_cost_proxy,lower_better,222.920377,223.381818,-0.461442,0.461442
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,score_progress,higher_better,0.581851,0.606856,-0.025005,-0.025005
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,score_lateral_drift,higher_better,0.248987,0.361981,-0.112994,-0.112994
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,score_energy,higher_better,0.410688,0.476770,-0.066082,-0.066082
