candidate,task_id,condition,cmd_vx,rank,gait,score,soft_prob
efficiency,rough_slope_trot_robustness,rough_slope,1.0,2,pronking,0.7318623071104022,0.2770678169895155
efficiency,rough_slope_trot_robustness,rough_slope,1.0,3,trotting,0.7287451306890164,0.24972402851371694
efficiency,rough_slope_trot_robustness,rough_slope,1.0,4,bounding,0.7071902371244506,0.12173663356646679
efficiency,rough_slope_trot_robustness,rough_slope,1.5,1,pacing,0.6462293941793699,0.37460570930906384
efficiency,rough_slope_trot_robustness,rough_slope,1.5,2,trotting,0.6364801863840382,0.2706700192470129
efficiency,rough_slope_trot_robustness,rough_slope,1.5,3,pronking,0.6343546165652308,0.25215604208593245
efficiency,rough_slope_trot_robustness,rough_slope,1.5,4,bounding,0.6073690201322149,0.10256822935799091
efficiency,rough_slope_trot_robustness,rough_slope,2.0,1,trotting,0.5321096259701465,0.5393940762062011
efficiency,rough_slope_trot_robustness,rough_slope,2.0,2,pacing,0.5185794037367617,0.34358654164563773
efficiency,rough_slope_trot_robustness,rough_slope,2.0,3,pronking,0.46640140959061677,0.060350700160209526
efficiency,rough_slope_trot_robustness,rough_slope,2.0,4,bounding,0.4645128844838058,0.056668681987951657
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,1,pacing,0.5413605849399963,0.42249656697361027
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,2,pronking,0.5218830076046288,0.22072746344264244
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,3,bounding,0.5164089124716287,0.18391228015511055
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,4,trotting,0.5145502461486363,0.17286368942863664
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,1,pacing,0.51078926729055,0.6176898450005482
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,2,trotting,0.47048769981068156,0.16119275419276624
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,3,bounding,0.4653351789706254,0.13575478206847652
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,4,pronking,0.45141692197233046,0.08536261873820904
robustness,flat_trot_efficiency,flat,0.5,1,pronking,0.7588706457972284,0.3452645094042244
robustness,flat_trot_efficiency,flat,0.5,2,trotting,0.7535637686013934,0.2892857374817547
robustness,flat_trot_efficiency,flat,0.5,3,pacing,0.7534306481086869,0.28800491930559746
robustness,flat_trot_efficiency,flat,0.5,4,bounding,0.7140282971133303,0.07744483380842344
robustness,flat_trot_efficiency,flat,1.0,1,pronking,0.7506324678538292,0.36748954071756396
robustness,flat_trot_efficiency,flat,1.0,2,trotting,0.7496080790169356,0.35515295756245996
robustness,flat_trot_efficiency,flat,1.0,3,pacing,0.7294358000522705,0.1812974883722825
robustness,flat_trot_efficiency,flat,1.0,4,bounding,0.7103808161810161,0.09606001334769353
robustness,flat_trot_efficiency,flat,1.5,1,trotting,0.7045211597247337,0.36379426469200127
robustness,flat_trot_efficiency,flat,1.5,2,pronking,0.7037182141065114,0.35418651291142333
robustness,flat_trot_efficiency,flat,1.5,3,pacing,0.6783197891663729,0.1518980363623925
robustness,flat_trot_efficiency,flat,1.5,4,bounding,0.6736774911907145,0.1301211860341829
robustness,flat_trot_efficiency,flat,2.0,1,trotting,0.6625365868695383,0.42205160597976055
robustness,flat_trot_efficiency,flat,2.0,2,pronking,0.6544399522547798,0.3222216861997451
robustness,flat_trot_efficiency,flat,2.0,3,pacing,0.629645536918708,0.14099991166893736
robustness,flat_trot_efficiency,flat,2.0,4,bounding,0.6234593674903963,0.11472679615155709
robustness,push_lateral_pace_recovery,push_lateral,1.2,1,trotting,0.7288708263720439,0.4015566473151886
robustness,push_lateral_pace_recovery,push_lateral,1.2,2,pronking,0.7207018868407098,0.3058364947487508
robustness,push_lateral_pace_recovery,push_lateral,1.2,3,pacing,0.699694772258522,0.15183789561226235
robustness,push_lateral_pace_recovery,push_lateral,1.2,4,bounding,0.6974239674343811,0.1407689623237983
robustness,push_lateral_pace_recovery,push_lateral,1.5,1,trotting,0.7110971561898061,0.40813956261487694
robustness,push_lateral_pace_recovery,push_lateral,1.5,2,pronking,0.7065729461307448,0.3510056004992957
robustness,push_lateral_pace_recovery,push_lateral,1.5,3,pacing,0.6826174890970796,0.1579513295455226
robustness,push_lateral_pace_recovery,push_lateral,1.5,4,bounding,0.6632792018353939,0.0829035073403048
