candidate,task_id,condition,cmd_vx,gait,gait_id,balanced_score,neutral_score,weighted_metric_reward_mean,vx_abs_error_mean,fall_rate,lateral_offset_abs_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,transport_cost_proxy,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,efficiency_score,robustness_score,contact_safety_score
robustness,flat_trot_efficiency,flat,0.5,pronking,0.0,,0.881423348635435,0.7984644770622253,0.05946362018585205,0.006000000052154064,0.6970187425613403,0.1290000081062317,0.8198803663253784,250.55960643475908,3.3940136432647705,0.5,0.08000031858682632,0.33000147342681885,0.0,,0.7588706457972284,
robustness,flat_trot_efficiency,flat,0.5,trotting,1.0,,0.9129184256494046,0.7734260559082031,0.06171025335788727,0.00800000037997961,1.3457205295562744,0.1601666659116745,0.757080078125,202.31723721736995,3.000000238418579,0.5,0.10954824835062027,0.2906026840209961,0.03939729183912277,,0.7535637686013934,
robustness,flat_trot_efficiency,flat,0.5,bounding,2.0,,0.8194695444405079,0.8596502542495728,0.1132347583770752,0.004999999888241291,1.6138672828674316,0.15174999833106995,0.7734166383743286,273.13288014912723,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,0.7140282971133303,
robustness,flat_trot_efficiency,flat,0.5,pacing,3.0,,0.8705127315223217,0.7565011978149414,0.0570092536509037,0.010000000707805157,1.507596731185913,0.07050000131130219,0.1513606756925583,188.00748040219793,2.5,0.5,0.11999969929456711,0.3800007998943329,-0.03939542919397354,,0.7534306481086869,
robustness,flat_trot_efficiency,flat,1.0,pronking,0.0,,0.8757946731646856,0.845299482345581,0.14050352573394775,0.017000000923871994,1.2840304374694824,0.13708333671092987,0.6514879465103149,181.93278962575167,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,0.7506324678538292,
robustness,flat_trot_efficiency,flat,1.0,trotting,1.0,,0.8677630216876665,0.8919445276260376,0.12926310300827026,0.018000001087784767,1.0688319206237793,0.1615000069141388,0.6129928231239319,145.21879293661158,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,0.7496080790169356,
robustness,flat_trot_efficiency,flat,1.0,bounding,2.0,,0.8060942254463831,0.8377066850662231,0.16711080074310303,0.013000000268220901,1.6544439792633057,0.15658335387706757,0.6186990737915039,189.67484678898063,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,0.7103808161810161,
robustness,flat_trot_efficiency,flat,1.0,pacing,3.0,,0.8370645376046499,0.8273964524269104,0.1323697715997696,0.015000000596046448,1.4519160985946655,0.11200001090765,0.4790070652961731,157.5882752489567,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0,,0.7294358000522705,
robustness,flat_trot_efficiency,flat,1.5,pronking,0.0,,0.8119708868861198,0.7135385274887085,0.2348552942276001,0.020000001415610313,1.2943097352981567,0.1469166874885559,0.763770580291748,178.19652862381113,3.000000238418579,0.5,0.10887527465820312,0.36849966645240784,0.0,,0.7037182141065114,
robustness,flat_trot_efficiency,flat,1.5,trotting,1.0,,0.8274946795900662,0.7460876703262329,0.20033486187458038,0.02200000174343586,1.3916726112365723,0.15116667747497559,0.7567058801651001,170.19010607925756,3.000000238418579,0.5,0.1088302731513977,0.29155999422073364,0.0,,0.7045211597247337,
robustness,flat_trot_efficiency,flat,1.5,bounding,2.0,,0.7425870622197787,0.8189494013786316,0.2597246766090393,0.020000001415610313,1.3660399913787842,0.14366668462753296,0.9347209334373474,197.85185960393588,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,0.6736774911907145,
robustness,flat_trot_efficiency,flat,1.5,pacing,3.0,,0.7649500385920207,0.7287790775299072,0.2575615644454956,0.01900000125169754,1.4465093612670898,0.1250000149011612,0.4242587685585022,167.38240491658226,2.5,0.5,0.11999969929456711,0.3800007998943329,0.03834594413638115,,0.6783197891663729,
robustness,flat_trot_efficiency,flat,2.0,pronking,0.0,,0.6791825570662817,0.7207362651824951,0.48427969217300415,0.02800000086426735,1.2782647609710693,0.15141668915748596,0.7731404304504395,198.52848233676076,3.000000238418579,0.5,0.10865024477243423,0.33000147342681885,0.0,,0.6544399522547798,
robustness,flat_trot_efficiency,flat,2.0,trotting,1.0,,0.7434543317556381,0.7050940990447998,0.34368962049484253,0.02500000223517418,1.4564552307128906,0.14908334612846375,0.9081380367279053,184.19945806049162,3.3803353309631348,0.5,0.1085248738527298,0.29196697473526,0.0,,0.6625365868695383,
robustness,flat_trot_efficiency,flat,2.0,bounding,2.0,,0.6258291272322337,0.7809913754463196,0.4398883581161499,0.026000000536441803,1.2883448600769043,0.11691665649414062,1.0197184085845947,211.49445082172713,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,0.6234593674903963,
robustness,flat_trot_efficiency,flat,2.0,pacing,3.0,,0.6678215453028679,0.7064471244812012,0.411167711019516,0.027000000700354576,1.262726068496704,0.11049997806549072,0.619438111782074,182.66835376102435,2.5,0.5,0.11999969929456711,0.341919481754303,0.0,,0.629645536918708,
robustness,ramp_up_trot_robustness,ramp_up,0.5,pronking,0.0,,0.8864715051096983,0.911828875541687,0.07003110647201538,0.007000000216066837,1.5791616439819336,0.04383333772420883,0.8451954126358032,256.4618538549326,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,0.7805069792955144,
robustness,ramp_up_trot_robustness,ramp_up,0.5,trotting,1.0,,0.883746756431766,0.8119436502456665,0.07358827441930771,0.00800000037997961,1.4562954902648926,0.05533333867788315,0.5431392788887024,201.81920384394587,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0394572950899601,,0.7608222904334951,
robustness,ramp_up_trot_robustness,ramp_up,0.5,bounding,2.0,,0.7746573077658049,0.8323028087615967,0.12084116786718369,0.00800000037997961,1.8624171018600464,0.05366666987538338,0.6749293804168701,324.8911624977821,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,0.7161736006023197,
